[10:51:42] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:51:42] be8816fd5952   peer2.org3.digiprism.com                                                                                               3.67%     123.1MiB / 15.49GiB   0.78%     3.99GB / 3.94GB   15.5MB / 257MB   15
[10:51:42] 9c6f434b7202   peer1.org3.digiprism.com                                                                                               3.76%     121.4MiB / 15.49GiB   0.77%     3.96GB / 3.97GB   16.8MB / 258MB   15
[10:51:42] eb4ce43c7f5f   peer2.org2.digiprism.com                                                                                               3.51%     135.1MiB / 15.49GiB   0.85%     4.02GB / 3.96GB   19.9MB / 293MB   15
[10:51:42] b6587b37528a   peer1.org2.digiprism.com                                                                                               3.95%     129.6MiB / 15.49GiB   0.82%     4.03GB / 4.03GB   20.9MB / 295MB   15
[10:51:42] 4f8adb1d26bd   peer2.org1.digiprism.com                                                                                               3.48%     134.7MiB / 15.49GiB   0.85%     4.01GB / 4GB      20.5MB / 295MB   15
[10:51:42] 25c44cfbdce5   peer1.org1.digiprism.com                                                                                               4.01%     155MiB / 15.49GiB     0.98%     4.11GB / 4.98GB   68MB / 289MB     15
[10:51:42] c0dbbd337451   peer2.org3.digiprism.com.couchdb                                                                                       1.19%     109.2MiB / 15.49GiB   0.69%     52.6MB / 36.4MB   48.4MB / 838MB   35
[10:51:42] 52732ee477c4   peer1.org3.digiprism.com.couchdb                                                                                       1.20%     107.6MiB / 15.49GiB   0.68%     52.6MB / 36.4MB   47MB / 839MB     35
[10:51:42] 631a5cfd7bb5   peer2.org2.digiprism.com.couchdb                                                                                       1.20%     113MiB / 15.49GiB     0.71%     59.6MB / 43.8MB   53.9MB / 980MB   35
[10:51:42] f25f52e5571b   peer1.org2.digiprism.com.couchdb                                                                                       1.22%     113.9MiB / 15.49GiB   0.72%     59.7MB / 43.8MB   49.6MB / 979MB   35
